iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
UGL,Antarctica/South_Pole,GMT +13:00,13,Union Glacier Blue-Ice Runway,UGL,AQ,-79.777778,-83.320833,2461,SCGC
SXW,Pacific/Port_Moresby,GMT +10:00,10,Sauren,SXW,PG,-5.971389,148.95305,177,AYSV
NDV,America/New_York,GMT -5:00,-5,USN Heliport,NDV,US,38.86667,-77,19,
EAP,Europe/Zurich,GMT +1:00,1,EuroAirport Basel-Mulhouse-Freiburg Airport,EAP,CH,47.59,7.529167,846,
NET,America/Nassau,GMT -5:00,-5,New Bight,NET,BS,24.3148241,-75.4576380366393,36,
MSK,America/Nassau,GMT -5:00,-5,Mastic Point,MSK,BS,25.033333,-78,29,
LYG,Asia/Shanghai,GMT +8:00,8,Lianyungang Airport,LYG,CN,34.57096,118.874756686636,52,ZSLG
YIG,America/Vancouver,GMT -8:00,-8,Big Bay Marina,YIG,CA,50.38333,-125.13333,0,CAF6
ACI,Europe/Guernsey,GMT +0:00,0,Alderney Airport,ACI,GB,49.70694185,-2.2144985971748,298,EGJA
ANT,Europe/Vienna,GMT +1:00,1,St Anton,ANT,AT,47.15,10.283333,5672,
APW,Pacific/Apia,GMT +13:00,13,Faleolo Airport,APW,WS,-13.832271,-171.999494,45,NSFA
LYI,Asia/Shanghai,GMT +8:00,8,Linyi Airport,LYI,CN,35.05260055,118.41027073429,187,ZSLY
LHB,America/Nome,GMT -9:00,-9,Lost Harbor Sea Port,LHB,US,54.233334,-165.6,0,
MZS,Asia/Kuching,GMT +8:00,8,Mostyn,MZS,MY,4.616667,118.15,223,
MDE,America/Bogota,GMT -5:00,-5,Jose Maria Cordova International Airport,MDE,CO,6.16640765,-75.4239457209452,6965,SKRG
MDH,America/Chicago,GMT -6:00,-6,Southern Illinois,MDH,US,37.7782221,-89.2503003,400,KMDH
YFL,America/Yellowknife,GMT -7:00,-7,Fort Reliance,YFL,CA,62.7,-109.13333,514,CJN8
YEP,America/Vancouver,GMT -8:00,-8,Estevan Point,YEP,CA,49.38333,-126.53333,0,
JTN,America/Sao_Paulo,GMT -3:00,-3,Antônio Ribeiro Nogueira Jr. State Airport,JTN,BR,-24.164722,-46.785556,10,SDIM
YGA,America/Montreal,GMT -5:00,-5,Gagnon,YGA,CA,51.95,-68.13333,700,CTU4
MDK,Africa/Kinshasa,GMT +1:00,1,Mbandaka,MDK,CD,0.02011615,18.2904094403429,1010,FZEA
LMV,Indian/Maldives,GMT +5:00,5,Madivaru Airport,LMV,MV,5.45798469788,73.3703800969,39,
LZC,America/Mexico_City,GMT -6:00,-6,Lazaro Cardenas Airport,LZC,MX,18.00309765,-102.219662652948,62,MMLC
AQP,America/Lima,GMT -5:00,-5,Rodriguez Ballon International Airport,AQP,PE,-16.3423105,-71.5689587883018,8346,SPQU
NKI,America/Anchorage,GMT -9:00,-9,Naukiti,NKI,US,55.36667,-133.21666,1630,AK62
YSV,America/Goose_Bay,GMT -4:00,-4,Saglek,YSV,CA,58.583332,-62.5,0,
AST,America/Los_Angeles,GMT -8:00,-8,Astoria,AST,US,46.15642245,-123.883009998832,16,KAST
TYC,Asia/Shanghai,GMT +8:00,8,Taiyuan Yaocheng Airport,TYC,CN,37.5027,112.4229,2487,ZBXX
YTI,America/Vancouver,GMT -8:00,-8,Triple Island,YTI,CA,-29.456944,142.06223,0,
LZH,Asia/Shanghai,GMT +8:00,8,Liuzhou Airport,LZH,CN,24.20767915,109.398557886666,318,ZGZH
MEC,America/Guayaquil,GMT -5:00,-5,Manta Airport,MEC,EC,-0.94690845,-80.6794999097125,26,SEMT
DZH,Asia/Shanghai,GMT +8:00,8,Dazhou Jinya Airport,DZH,CN,31.05057705,107.436982222975,1364,
EES,Africa/Cairo,GMT +2:00,2,Berenice International Airport,IUP,EG,23.980303,35.4500368569353,55,
YHA,America/St_Johns,GMT -3:00,-3,Port Hope Simpson,YHA,CA,52.52758035,-56.2807710031685,347,CCP4
KFZ,Europe/Tirane,GMT +1:00,1,Kukës International Airport,KFZ,AL,42.0342197,20.4161565260286,1135,LAKU
JTA,America/Fortaleza,GMT -3:00,-3,Pedro Teixeira Castelo Airport,JTA,BR,-5.93260025,-40.2959781458301,1457,SDZG
KJB,Asia/Kolkata,GMT +5:00,5,Uyyalawada Narasimha Reddy Airport,KJB,IN,15.7158696,78.1693148104587,920,VOKU
YPF,America/Vancouver,GMT -8:00,-8,Esquimalt,YPF,CA,48.4253301,-123.3904221,0,
EHU,Asia/Shanghai,GMT +8:00,8,Ezhou Huahu Airport,EHU,CN,30.346,115.0474,65,ZHEC
FZL,Asia/Baku,GMT +4:00,4,Fuzuli International Airport,FZL,AZ,39.5945705,47.1964348,1204,UBBF
KXB,Asia/Makassar,GMT +8:00,8,Sangia Nibandera Airport,PUM,ID,-4.3356094,121.524242255012,88,WAWP
GDR,America/Sao_Paulo,GMT -3:00,-3,Angra dos Reis Airport,GDR,BR,-22.975278,-44.307222,22,SDAG
HLJ,Asia/Shanghai,GMT +8:00,8,Beidahuang General Airport,HLJ,CN,46.7932345403,130.27009854,255,
HZU,Asia/Shanghai,GMT +8:00,8,Chengdu Huaizhou Airport,HZU,CN,30.67744769548,104.5295206131,1397,
NGR,Pacific/Port_Moresby,GMT +10:00,10,Ningerum,NGR,PG,-6.5,141,78,
MXQ,America/Sao_Paulo,GMT -3:00,-3,Lorenzo Airport,MXQ,BR,-13.389444,-38.91,22,SNCL
AFK,Asia/Colombo,GMT +5:00,5,Ampara Kondavattavan Tank Airport,ADP,LK,7.3421695432559,81.6293122055794,131,
JHF,America/Sao_Paulo,GMT -3:00,-3,São Paulo Catarina Executive Airport,JHF,BR,-23.426886,-47.165658,2562,SBJH
AGK,Pacific/Port_Moresby,GMT +10:00,10,Kagua,AGK,PG,-6.403333,143.84666,5554,
BLL,Europe/Copenhagen,GMT +1:00,1,Billund Airport,BLL,DK,55.740737,9.16039188432232,219,EKBI
CBA,America/Sitka,GMT -9:00,-9,Corner Bay,CBA,US,57.716667,-135.2,242,
JSB,America/Fortaleza,GMT -3:00,-3,Walfrido Salmito de Almeida Airport,JSB,BR,-4.05,-40.883333,2874,SWBE
ATH,Europe/Athens,GMT +2:00,2,Eleftherios Venizelos International Airport,ATH,GR,37.9372535,23.9546242863155,229,LGAV
TXC,Europe/Minsk,GMT +3:00,3,Balbasovo Air Base,TXC,BY,54.44,30.296667,620,UMIO
YLE,America/Yellowknife,GMT -7:00,-7,Wha Ti,YLE,CA,63.15,-117.26667,882,CEM3
UHS,Asia/Sakhalin,GMT +11:00,11,Aleksandrovsk-Sakhalinskiy Airport,UHS,RU,50.878037,142.174682,13,
MEH,Europe/Oslo,GMT +1:00,1,Mehamn Airport,MEH,NO,71.0298909,27.8245343,0,ENMH
ZMF,Europe/Rome,GMT +1:00,1,Beverello Harbor,NAP,IT,40.8400969,14.2516357,0,
MEI,America/Chicago,GMT -6:00,-6,Key Field,MEI,US,32.32774155,-88.7525782827135,278,KMEI
MEL,Australia/Melbourne,GMT +11:00,11,Tullamarine Airport,MEL,AU,-37.667111,144.833480766796,344,YMML
MEM,America/Chicago,GMT -6:00,-6,Memphis International Airport,MEM,US,35.04625645,-89.9768946651319,275,KMEM
MEN,Europe/Paris,GMT +1:00,1,Brenoux,MEN,FR,44.50240255,3.53105499504039,3280,LFNB
MHB,Pacific/Auckland,GMT +13:00,13,Mechanics Bay,AKL,NZ,-36.845,174.78473,42,
MBS,America/Detroit,GMT -5:00,-5,MBS International Airport,MBS,US,43.53579615,-84.0828495668065,652,KMBS
MBW,Australia/Melbourne,GMT +11:00,11,Moorabbin,MEL,AU,-37.97844885,145.098350766184,36,YMMB
MBY,America/Chicago,GMT -6:00,-6,Moberly,MBY,US,39.46315015,-92.4296597346036,843,KMBY
AVP,America/New_York,GMT -5:00,-5,Wilkes-Barre/Scranton International Airport,AVP,US,41.33709205,-75.7225712292862,921,KAVP
DIA,Asia/Qatar,GMT +3:00,3,Doha International Airport,DIA,QA,25.2607,51.5646,55,OTBD
GNJ,Asia/Baku,GMT +4:00,4,Ganja International Airport,GNJ,AZ,40.7370535,46.3162830422784,1105,UBBG
YGQ,America/Toronto,GMT -5:00,-5,Geraldton,YGQ,CA,49.733334,-86.95,1144,CYGQ
GYO,Asia/Jakarta,GMT +7:00,7,Bandar Udara Senubung,GYO,ID,3.94565795,97.3597350002389,3454,WIMG
HIT,Pacific/Port_Moresby,GMT +10:00,10,Haivaro,HIT,PG,-6.94283805,143.05514141776,157,AYHO
YNN,Australia/Perth,GMT +8:00,8,Yandi,YNN,AU,-22.766666,119.23333,0,
MEO,America/New_York,GMT -5:00,-5,Dare County Regional,MEO,US,35.9199194,-75.6972130654396,32,KMQI
HSF,Asia/Shanghai,GMT +8:00,8,Suifenhe Dongning Airport,HSF,CN,44.45487485,130.844451578685,1407,
MEY,Asia/Kathmandu,GMT +5:00,5,Meghauli,MEY,NP,27.5770541,84.2288415263752,475,VNMG
YOG,America/Toronto,GMT -5:00,-5,Ogoki,YOG,CA,51.6588906,-85.900713753242,594,CYKP
YEL,America/Toronto,GMT -5:00,-5,Elliot Lake,YEL,CA,46.3513165,-82.5588399495028,1087,CYEL
INR,America/Detroit,GMT -5:00,-5,Kincheloe AFB,SSM,US,46.5,-84.35,606,
YFH,America/Toronto,GMT -5:00,-5,Fort Hope,YFH,CA,51.5615715,-87.9090040125581,899,CYFH
RDL,Africa/Cairo,GMT +2:00,2,Al Bardawil International Airport,RDL,EG,30.4095794591708,33.1515706592,964,
VCC,America/Sao_Paulo,GMT -3:00,-3,New Vacaria Airport,VCC,BR,-28.431944,-51.022778,2975,SNEE
CSP,America/Juneau,GMT -9:00,-9,Cape Spencer C G Heliport,CSP,US,58.1991004944,-136.639007568,0,
MKZ,Asia/Kuala_Lumpur,GMT +8:00,8,Malacca International Airport,MKZ,MY,2.2649363,102.251186902414,98,WMKM
MLC,America/Chicago,GMT -6:00,-6,Mc Alester,MLC,US,34.8852967,-95.7859407,754,KMLC
YFS,America/Yellowknife,GMT -7:00,-7,Fort Simpson,YFS,CA,61.7609797,-121.235330193237,555,CYFS
GDB,Asia/Kolkata,GMT +5:00,5,Gondia Airport,GDB,IN,21.522,80.01,898,VAGD
AEI,Europe/Madrid,GMT +1:00,1,Algeciras,AEI,ES,36.1289,-5.441301,42,
LCO,Africa/Brazzaville,GMT +1:00,1,Lague,LCO,CG,-2.45,14.533,2756,FCBL
MLE,Indian/Maldives,GMT +5:00,5,Male International Airport,MLE,MV,4.1961894,73.5301041555218,0,VRMM
AQG,Asia/Shanghai,GMT +8:00,8,Anqing Tianzhushan Airport,AQG,CN,30.5859116,117.056179940441,45,ZSAQ
VBM,America/Anchorage,GMT -9:00,-9,Blue Mountain,VBM,US,57.8575,-157.08667,131,
YHU,America/Montreal,GMT -5:00,-5,St. Hubert Airport,YMQ,CA,45.5,-73.6,90,CYHU
YIV,America/Winnipeg,GMT -6:00,-6,Island Lake Airport,YIV,CA,54.2,-94.78333,770,CYIV
QMK,America/Godthab,GMT -2:00,-2,Heliport,QMK,GL,68.25,-52.833332,0,
JCS,America/Fortaleza,GMT -3:00,-3,Aeroporto De Crateus Airport,JCS,BR,-5.21230869969,-40.7045819389,1026,SNWS
AQI,Asia/Riyadh,GMT +3:00,3,Qaisumah Airport,AQI,SA,28.3342381,46.1219356,1181,OEPA
YGW,America/Montreal,GMT -5:00,-5,Kuujjuarapik Airport,YGW,CA,55.2824753,-77.7563259857943,34,CYGW
AQJ,Asia/Amman,GMT +3:00,3,King Hussein International Airport,AQJ,JO,29.6101427,35.019039998479,154,OJAQ
YHF,America/Toronto,GMT -5:00,-5,Hearst,YHF,CA,49.7141397,-83.6881101219195,827,CYHF
ATP,Pacific/Port_Moresby,GMT +10:00,10,Airstrip,ATP,PG,-3.166667,142.28334,49,AYAI
AUP,Pacific/Port_Moresby,GMT +10:00,10,Agaun,AUP,PG,-9.983333,149.58333,6676,AYAG
MLG,Asia/Jakarta,GMT +7:00,7,Abdul Rachman Saleh Airport,MLG,ID,-7.93032505,112.713274094032,1725,WARA
LVI,Africa/Lusaka,GMT +2:00,2,Livingstone Airport,LVI,ZM,-17.81843635,25.7957148839815,3248,FLHN
AHA,Asia/Tokyo,GMT +9:00,9,Naha AFB,OKA,JP,26.2,127.65,32,
AME,Africa/Maputo,GMT +2:00,2,Alto Molocue,AME,MZ,-15.833333,37.583332,1784,
BCZ,Australia/Darwin,GMT +9:00,9,Bickerton Island,BCZ,AU,-13.783333,137.8,85,
AXO,Asia/Makassar,GMT +8:00,8,Bandar Udara Pantar,AXO,ID,-8.244694,124.219278,49,
MDN,America/Indiana/Indianapolis,GMT -5:00,-5,Jefferson Proving Grd,MDN,US,38.733334,-85.38333,442,KIMS
YLR,America/Winnipeg,GMT -6:00,-6,Leaf Rapids,YLR,CA,56.5133018,-99.9852982,959,CYLR
CNY,America/Denver,GMT -7:00,-7,Canyonlands Field,CNY,US,38.7584059,-109.748812,4507,KCNY
CTV,Africa/Luanda,GMT +1:00,1,Catoca Airport,CTV,AO,-9.430985,20.311478,3523,
CWP,Asia/Karachi,GMT +5:00,5,Campbellpore,CWP,PK,33.766666,72.433334,1141,
YLJ,America/Regina,GMT -6:00,-6,Meadow Lake,YLJ,CA,54.5,-108.666664,1576,CYLJ
MDG,Asia/Shanghai,GMT +8:00,8,Mudanjiang Airport,MDG,CN,44.5245786,129.567140848643,853,ZYMD
BCP,Pacific/Port_Moresby,GMT +10:00,10,Bambu,BCP,PG,-5.85,146.48334,4301,AYBC
MEK,Africa/Casablanca,GMT +1:00,1,Meknes,MEK,MA,33.88333,-5.533333,1837,GMFM
JPO,America/Recife,GMT -3:00,-3,Brigadeiro Firmino Ayres Airport,NVM,BR,-7.037496939556,-37.25184761766,850,SNTS
JPE,America/Sao_Paulo,GMT -3:00,-3,Nagib Demachki Airport,JPE,BR,-3.019722,-47.316389,443,SNEB
JPY,America/Sao_Paulo,GMT -3:00,-3,Paraty Airport,JPY,BR,-23.224444,-44.720278,10,SDTK
YJF,America/Yellowknife,GMT -7:00,-7,Fort Liard,YJF,CA,60.23598605,-123.470078611695,708,CYJF
YCM,America/Toronto,GMT -5:00,-5,Niagara District Airport,YCM,CA,43.1929769,-79.171941751618,321,CYSN
BHL,America/Santa_Isabel,GMT -8:00,-8,Bahia Angeles,BHL,MX,28.95,-113.55,0,
MEA,America/Sao_Paulo,GMT -3:00,-3,Macae,MEA,BR,-22.34317105,-41.7657736454536,19,SBME
MEF,Africa/Ndjamena,GMT +1:00,1,Melfi,MEF,TD,11.0611795,17.9398765,1259,
NNK,America/Anchorage,GMT -9:00,-9,Naknek,NNK,US,58.7328918,-157.020357060513,42,5NK
WTL,America/Anchorage,GMT -9:00,-9,Tuntutuliak,WTL,US,60.3504323,-162.6565166,36,A61
YPS,America/Halifax,GMT -4:00,-4,Port Hawkesbury,YPS,CA,45.65680205,-61.3679371135268,377,CYPD
OOD,Australia/Perth,GMT +8:00,8,Gudai-Darri Airstrip,OOD,AU,-22.503574253549,119.07625111164,1456,YKDD
YPR,America/Vancouver,GMT -8:00,-8,Digby Island Airport,YPR,CA,54.3167,-130.3999939,116,CYPR
VSK,America/Los_Angeles,GMT -8:00,-8,Vista Field,VSK,US,46.21861,-119.212546,515,
BNF,America/Sitka,GMT -9:00,-9,Warm Spring Bay SPB,BNF,US,57,-135,4032,
CGX,America/Chicago,GMT -6:00,-6,Merrill C Meigs,CHI,US,41.85889,-87.60833,567,
CHW,Asia/Shanghai,GMT +8:00,8,Jiuhuang,CHW,CN,39.85,98.416664,4937,
COD,America/Denver,GMT -7:00,-7,Yellowstone Regional Airport,COD,US,44.52075195,-109.021853429653,5088,KCOD
MEG,Africa/Luanda,GMT +1:00,1,Malange,MEG,AO,-9.52508625,16.3151736997977,3832,FNMA
XOF,Europe/London,GMT +0:00,0,Stratford International Rail Station,LON,GB,51.51,0.06,0,
MEP,Asia/Kuala_Lumpur,GMT +8:00,8,Mersing,MEP,MY,2.416667,103.833336,55,WMAU
AKV,America/Iqaluit,GMT -5:00,-5,Akulivik,AKV,CA,60.733334,-78.583336,839,CYKO
ANH,Pacific/Guadalcanal,GMT +11:00,11,Anuha Island Resort,ANH,SB,-8.983333,160.5,0,
YKJ,America/Regina,GMT -6:00,-6,Key Lake,YKJ,CA,57.2560997,-105.617996,1679,CYKJ
YMG,America/Toronto,GMT -5:00,-5,Manitouwadge,YMG,CA,49.0828647,-85.8607207363479,1198,CYMG
BDO,Asia/Jakarta,GMT +7:00,7,Husein Sastranegara Airport,BDO,ID,-6.89951685,107.576047505426,2421,WICC
YUD,America/Montreal,GMT -5:00,-5,Umiujaq,YUD,CA,56.5382204,-76.5191558,250,CYMU
YFJ,America/Yellowknife,GMT -7:00,-7,Snare Lake,YFJ,CA,64.1930455,-114.076634,1208,CYWE
DSY,Asia/Phnom_Penh,GMT +7:00,7,Dara Sakor International Airport,DSY,KH,10.91482235,103.225265056204,75,
YPC,America/Yellowknife,GMT -7:00,-7,Paulatuk,YPC,CA,69.3613348,-124.074532782738,15,CYPC
BDQ,Asia/Kolkata,GMT +5:00,5,Vadodara Airport,BDQ,IN,22.33681675,73.2270688688782,144,VABO
LAK,America/Yellowknife,GMT -7:00,-7,Aklavik,LAK,CA,68.2223622,-135.004754614334,23,CYKD
MEJ,America/New_York,GMT -5:00,-5,Meadville,MEJ,US,41.62622935,-80.2117713112476,1377,KGKJ
EWR,America/New_York,GMT -5:00,-5,Newark Liberty International Airport,NYC,US,40.68906405,-74.1772548503535,49,KEWR
MEQ,Asia/Jakarta,GMT +7:00,7,Seunagan,MEQ,ID,4.15,96.11667,29,WITC
YXN,America/Rankin_Inlet,GMT -6:00,-6,Whale Cove,YXN,CA,62.2416682,-92.6000996811404,40,CYXN
IUP,America/Manaus,GMT -4:00,-4,Lorenzo Airport,IUP,BR,-7.1726927603202,-59.8393706089647,616,
MEU,America/Santarem,GMT -3:00,-3,Monte Dourado,MEU,BR,-0.8896558,-52.6019777983918,649,SBMD
RLD,America/Los_Angeles,GMT -8:00,-8,Richland,RLD,US,46.30361055,-119.304094215187,393,
LEG,Africa/Nouakchott,GMT +0:00,0,Aleg,LEG,MR,17.166668,-13.95,0,
YSK,America/Iqaluit,GMT -5:00,-5,Sanikiluaq Airport,YSK,CA,56.53683365,-79.2493378209591,104,CYSK
MER,America/Los_Angeles,GMT -8:00,-8,Castle AFB,MCE,US,37.3,-120.48333,164,KMER
MES,Asia/Jakarta,GMT +7:00,7,Polonia,MES,ID,3.561111,98.672775,68,WIMK
NOR,Atlantic/Reykjavik,GMT +0:00,0,Nordfjordur,NOR,IS,65.166664,-22,1102,BINF
YCK,America/Yellowknife,GMT -7:00,-7,Colville Lake,YCK,CA,67.02074845,-126.128635495708,869,CYVL
MFG,Asia/Karachi,GMT +5:00,5,Muzaffarabad,MFG,PK,34.36667,73.46667,2253,OPMF
MFI,America/Chicago,GMT -6:00,-6,Municipal,MFI,US,44.63389,-90.18667,1236,KMFI
YSP,America/Toronto,GMT -5:00,-5,Marathon,YSP,CA,48.75,-86.35,1035,CYSP
YST,America/Winnipeg,GMT -6:00,-6,Ste Therese Point,YST,CA,53.85,-94.65,773,CYST
YTA,America/Toronto,GMT -5:00,-5,Pembroke And Area Airport,YTA,CA,45.861668,-77.24944,529,CYTA
BXL,Pacific/Fiji,GMT +12:00,12,Blue Lagoon,BXL,FJ,-16.75,179,620,
YTQ,America/Montreal,GMT -5:00,-5,Tasiujuaq Airport,YTQ,CA,58.6678,-69.95633,122,CYTQ
COH,Asia/Kolkata,GMT +5:00,5,Cooch Behar,COH,IN,26.32970445,89.4698405933452,91,VECO
DDD,Indian/Maldives,GMT +5:00,5,Dhaalu Airport,DDD,MV,2.66648215,72.8861167976551,0,VRMU
YTW,Asia/Urumqi,GMT +6:00,6,Yutian Wanfang Airport,YTW,CN,36.80990525,81.7914926933386,4728,ZWYT
YGZ,America/Iqaluit,GMT -5:00,-5,Grise Fiord,YGZ,CA,76.42610205,-82.9095837707666,146,CYGZ
YLH,America/Toronto,GMT -5:00,-5,Lansdowne House,YLH,CA,52.1955986,-87.9341965,834,CYLH
DUN,America/Godthab,GMT -2:00,-2,Dundas,DUN,GL,76.577225,-68.77556,0,
YTL,America/Winnipeg,GMT -6:00,-6,Big Trout,YTL,CA,53.81987275,-89.9003595497507,729,CYTL
COK,Asia/Kolkata,GMT +5:00,5,Cochin International Airport,COK,IN,10.15448595,76.392488927355,29,VOCI
DWF,America/New_York,GMT -5:00,-5,Wright AFB,DAY,US,39.666668,-84.183334,879,
EFB,America/Juneau,GMT -9:00,-9,Eight Fathom Bight,EFB,US,58,-135.73334,0,
JDE,Asia/Shanghai,GMT +8:00,8,Jiande Qiandaohu Airport,JDE,CN,29.354412074477,119.18551273837,180,
CYA,America/Port-au-Prince,GMT -5:00,-5,Les Cayes,CYA,HT,18.2700495,-73.7919727086445,196,MTCA
MFK,Asia/Taipei,GMT +8:00,8,Matsu Beigan Airport,MFK,TW,26.166668,119.916664,0,RCMT
MEW,Africa/Lubumbashi,GMT +2:00,2,Mweka,MEW,CD,-4.85500025,21.5425746197721,1856,FZVM
MFF,Africa/Libreville,GMT +1:00,1,Moanda,MFF,GA,-1.5279431,13.2539055857193,1883,FOOD
SPK,Asia/Tokyo,GMT +9:00,9,Sapporo,SPK,JP,43.09367523914,41.3405138551,0,
YVM,America/Pangnirtung,GMT -5:00,-5,Qikiqtarjuaq,YVM,CA,67.583336,-63.833332,21,CYVM
MFS,America/Bogota,GMT -5:00,-5,Miraflores,MFS,CO,5.166667,-73.25,10387,SKMF
MFT,America/Lima,GMT -5:00,-5,Machu Picchu,MFT,PE,-13.116667,-72.566666,9767,
WTC,America/New_York,GMT -5:00,-5,World Trade Center,NYC,US,40.7,-74.01667,0,
MBN,Australia/Perth,GMT +8:00,8,Mt Barnett,MBN,AU,-15,125,0,
MFQ,Africa/Niamey,GMT +1:00,1,Maradi,MFQ,NE,13.50119435,7.12444755356136,1181,DRRM
AGZ,Africa/Johannesburg,GMT +2:00,2,Aggeneys,AGZ,ZA,-29.05,18.85,2818,FAAG
DBR,Asia/Kolkata,GMT +5:00,5,Darbhanga Airport,DBR,IN,26.1967856,85.9118892,134,VE89
DDC,America/Chicago,GMT -6:00,-6,Dodge City Municipal Airport,DDC,US,37.7611827,-99.9657378,2582,KDDC
MFR,America/Los_Angeles,GMT -8:00,-8,Rogue Valley International-Medford Airport,MFR,US,42.3727441,-122.873429217527,1282,KMFR
MZD,America/Guayaquil,GMT -5:00,-5,Mendez,MZD,EC,-2.733333,-78.316666,2093,
YPB,America/Vancouver,GMT -8:00,-8,Port Alberni,YPB,CA,49.2318993,-124.8150024,250,CBS8
ZLT,America/Blanc-Sablon,GMT -4:00,-4,La Tabatiere,ZLT,CA,50.83005065,-58.9762389702099,102,CTU5
LPB,America/La_Paz,GMT -4:00,-4,El Alto International Airport,LPB,BO,-16.51222055,-68.1902609755884,13221,SLLP
YNL,America/Regina,GMT -6:00,-6,Points North Landing,YNL,CA,58.2688607,-104.079962,1605,CYNL
DIO,America/Nome,GMT -9:00,-9,Diomede Island,DIO,US,65.75,-168.95,141,
YYL,America/Winnipeg,GMT -6:00,-6,Lynn Lake,YYL,CA,56.8638992,-101.075996,1170,CYYL
YYU,America/Toronto,GMT -5:00,-5,Kapuskasing Airport,YYU,CA,49.40840675,-82.4639839753079,743,CYYU
EEA,America/Sao_Paulo,GMT -3:00,-3,Aeroporto Regional do Planalto Serrano,EEA,BR,-27.63194875,-50.3496337774351,2880,SNCP
TKM,America/Guatemala,GMT -6:00,-6,El Peten,TKM,GT,17.2281137,-89.6059401,0,
ERH,Africa/Casablanca,GMT +1:00,1,Moulay Ali Cherif Airport,ERH,MA,31.9476048,-4.40164240401268,3366,GMFK
ERI,America/New_York,GMT -5:00,-5,Erie International Airport,ERI,US,42.0847174,-80.1744031248598,705,KERI
ERL,Asia/Shanghai,GMT +8:00,8,Eren Hot Airport,ERL,CN,43.42349855,112.094751768843,3280,ZBER
EXT,Europe/London,GMT +0:00,0,Exeter International Airport,EXT,GB,50.7347944,-3.41288337983721,78,EGTE
FFA,America/New_York,GMT -5:00,-5,First Flight,FFA,US,36.0176628,-75.6715301636474,26,KFFA
SUR,America/Toronto,GMT -5:00,-5,Summer Beaver,SUR,CA,52.70772085,-88.5419171108802,793,CJV7
XGL,America/Winnipeg,GMT -6:00,-6,Granville Lake,XGL,CA,56.233334,-100.55,849,
NEI,Asia/Vladivostok,GMT +10:00,10,Terney Airport,NEI,RU,45.0814450773,136.590342226,19,
LPF,Asia/Shanghai,GMT +8:00,8,Liupanshui Yuezhao Airport,LPF,CN,26.60868035,104.978582367567,6427,ZUPS
KES,America/Winnipeg,GMT -6:00,-6,Kelsey,KES,CA,56.0377456,-96.5107075,600,CZEE
YSI,America/Toronto,GMT -5:00,-5,Sans Souci,YSI,CA,46,-80,580,CPS9
YTH,America/Winnipeg,GMT -6:00,-6,Thompson,YTH,CA,55.79753,-97.8605,729,CYTH
BYX,Australia/Darwin,GMT +9:00,9,Baniyala,BYX,AU,-13.1977286,136.226527199181,6,
CGA,America/Sitka,GMT -9:00,-9,Craig SPB,CGA,US,55.478382,-133.14616,3,CGA
WHB,Australia/Perth,GMT +8:00,8,Eliwana Airport,WHB,AU,-22.4306826,116.8863515,1555,
LPT,Asia/Bangkok,GMT +7:00,7,Lampang Airport,LPT,TH,18.2782787,99.5053516,810,VTCL
LTK,Asia/Damascus,GMT +3:00,3,Latakia,LTK,SY,35.40183425,35.9504028537282,59,OSLK
ZGI,America/Winnipeg,GMT -6:00,-6,Gods River Airport,ZGI,CA,54.683334,-94.166664,627,CZGI
MAW,America/Chicago,GMT -6:00,-6,Malden,MAW,US,36.6056127,-89.9889806,288,KMAW
AGL,Pacific/Port_Moresby,GMT +10:00,10,Wanigela,AGL,PG,-9.33738355,149.156102720688,29,AYWG
MAX,Africa/Dakar,GMT +0:00,0,Matam,MAX,SN,15.59567135,-13.3246011927745,52,GOSM
BFB,America/Anchorage,GMT -9:00,-9,Blue Fox Bay,BFB,US,58.183334,-152.13333,262,
YZP,America/Vancouver,GMT -8:00,-8,Sandspit Airport,YZP,CA,53.2532095,-131.812699845133,21,CYZP
YZT,America/Vancouver,GMT -8:00,-8,Port Hardy Airport,YZT,CA,50.68186165,-127.369770082381,71,CYZT
YTD,America/Winnipeg,GMT -6:00,-6,Thicket Portage,YTD,CA,55.3179916,-97.7019681,678,CZLQ
ZPB,America/Winnipeg,GMT -6:00,-6,Sachigo Lake Airport,ZPB,CA,53.88868915,-92.1877751435017,876,CZPB
MBA,Africa/Nairobi,GMT +3:00,3,Moi International Airport,MBA,KE,-4.0265226,39.6007207145766,154,HKMO
MGZ,Asia/Rangoon,GMT +6:00,6,Myeik Airport,MGZ,MM,12.4397928,98.6214656164383,36,VYME
MHD,Asia/Tehran,GMT +3:00,3,Mashhad International Airport,MHD,IR,36.23409075,59.6418668102232,3248,OIMM
OBA,Australia/Brisbane,GMT +10:00,10,Oban,OBA,AU,-21,139,925,
LBG,Europe/Paris,GMT +1:00,1,Le Bourget,PAR,FR,48.9622283,2.44941061583711,218,LFPB
LBQ,Africa/Libreville,GMT +1:00,1,Lambarene,LBQ,GA,-0.70416275,10.2449055459494,82,FOGR
CGC,Pacific/Port_Moresby,GMT +10:00,10,Cape Gloucester,CGC,PG,-5.459167,148.51584,0,AYCG
RNA,Pacific/Guadalcanal,GMT +11:00,11,Ulawa Airport,RNA,SB,-9.864444,161.98306,88,AGAR
DLO,America/Sitka,GMT -9:00,-9,Dolomi,DLO,US,55.122223,-132.05,0,
